id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
43925,Audi,A6,A6 Sedan 2.0 TDI,2008.0,415000.0,Otomatik,Dizel,Sedan,Gri (metalik),1968.0,140.0,2.0,2.0,Sahibinden,778000.0
43926,Audi,A3,A3 Sportback 35 TFSI Advanced,2021.0,44000.0,Yarı Otomatik,Hibrit,Hatchback/5,Beyaz,1498.0,150.0,0.0,0.0,Sahibinden,1785000.0
43927,Audi,A3,A3 Sportback 1.6 TDI Ambiente,2015.0,155000.0,Yarı Otomatik,Dizel,Hatchback/3,Siyah,1598.0,110.0,0.0,1.0,Sahibinden,1125000.0
43928,Audi,A4,A4 Sedan 2.0 TDI,2011.0,445000.0,Otomatik,Dizel,Sedan,Beyaz,1968.0,143.0,1.0,6.0,Sahibinden,850000.0
43929,Audi,A3,A3 Sportback 1.6 TDI Ambition,2013.0,228000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,105.0,1.0,8.0,Sahibinden,895000.0
43930,Audi,A4,A4 Sedan 40 TDI Quattro Advanced,2024.0,19000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1968.0,204.0,0.0,0.0,Sahibinden,3485000.0
43932,Audi,A4,A4 Sedan 2.0 TDI,2013.0,171000.0,Otomatik,Dizel,Sedan,Füme,1968.0,177.0,2.0,2.0,Sahibinden,1185000.0
43933,Audi,A3,A3 Sportback 1.6 TDI Attraction,2016.0,58800.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598.0,110.0,2.0,0.0,Sahibinden,1250000.0
43934,Audi,A4,A4 Sedan 2.0 TDI Sport,2016.0,159000.0,Yarı Otomatik,Dizel,Sedan,Gri,1968.0,190.0,0.0,3.0,Sahibinden,1750000.0
43936,Audi,A3,A3 Sedan 35 TFSI Dynamic,2020.0,99000.0,Yarı Otomatik,Benzin,Sedan,Siyah,1498.0,150.0,0.0,6.0,Sahibinden,1450000.0
43937,Audi,A4,A4 Sedan 1.6,2007.0,147000.0,Düz,LPG & Benzin,Sedan,Siyah,1595.0,102.0,1.0,7.0,Sahibinden,650000.0
43940,Audi,A4,A4 Sedan 2.0 TDI Quattro Design,2016.0,294200.0,Yarı Otomatik,Dizel,Sedan,Siyah,1968.0,190.0,0.0,0.0,Sahibinden,1530000.0
43941,Audi,A6,A6 Sedan 2.0 TDI Quattro,2016.0,249000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1968.0,190.0,0.0,1.0,Sahibinden,1969000.0
43943,Audi,A3,A3 Sportback 1.6 TDI Dynamic,2017.0,65000.0,Yarı Otomatik,Dizel,Hatchback/5,Füme,1500.0,113.0,0.0,0.0,Sahibinden,1465000.0
